"","PID","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod_Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Yr_Blt","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Year_Sold","Sale_Type","Sale_Condition","Longitude","Latitude","Sale_Price"
"17",527225035,"One_and_Half_Story_Finished_All_Ages","Residential_Low_Density",152,12134,"Pave","No_Alley_Access","Slightly_Irregular","Bnk","AllPub","Inside","Mod","Gilbert","Norm","Norm","OneFam","One_and_Half_Fin","Very_Good","Good",1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Good","Typical","Wood","Good","Typical","Av","GLQ",3,"Unf",0,132,559,"GasA","Good","Y","SBrkr",1080,672,0,1752,0,0,2,0,4,1,"Typical",8,"Typ",0,"No_Fireplace","Basment",1988,"RFn",2,492,"Typical","Typical","Paved",325,12,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.6235954,42.0603514,164000
"18",527258010,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",88,11394,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Stone_Brook","Norm","Norm","OneFam","One_Story","Excellent","Poor",2010,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",350,"Good","Typical","PConc","Excellent","Typical","Av","GLQ",3,"Unf",0,411,1856,"GasA","Excellent","Y","SBrkr",1856,0,0,1856,1,0,1,1,1,1,"Excellent",8,"Typ",1,"Excellent","Attchd",2010,"Fin",3,834,"Typical","Typical","Paved",113,0,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"New","Partial",-93.628804,42.05885,394432
"20",527302110,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",85,13175,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1978,1988,"Gable","CompShg","Plywood","Plywood","Stone",119,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Rec",163,589,1542,"GasA","Typical","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"Typical",7,"Min1",2,"Typical","Attchd",1978,"Unf",2,500,"Typical","Typical","Paved",349,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,2,2010,"WD ","Normal",-93.636655,42.054453,210000
"21",527358140,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",105,11751,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northwest_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Above_Average",1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",480,"Typical","Typical","CBlock","Good","Typical","No","BLQ",2,"Unf",0,1139,1844,"GasA","Excellent","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1977,"RFn",2,546,"Typical","Typical","Paved",0,122,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,1,2010,"COD","Normal",-93.633962,42.050346,190000
"23",527368020,"Two_Story_1946_and_Newer","Floating_Village_Residential",0,7500,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Somerset","Norm","Norm","OneFam","Two_Story","Good","Average",2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,281,814,"GasA","Excellent","Y","SBrkr",814,860,0,1674,1,0,2,1,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd",2000,"RFn",2,663,"Typical","Typical","Paved",0,96,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",-93.639366,42.049297,216000
"24",527402200,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",0,11241,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","CulDSac","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Above_Average","Good",1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Unf",0,426,1004,"GasA","Excellent","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"Typical",5,"Typ",1,"Typical","Attchd",1970,"Fin",2,480,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","Shed",700,3,2010,"WD ","Normal",-93.626231,42.055147,149000
"26",527403020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",65,8450,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Average","Above_Average",1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"Typical","Typical","CBlock","Typical","Typical","No","BLQ",2,"Unf",0,281,1056,"GasA","Excellent","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"Typical",6,"Typ",1,"Fair","Attchd",1968,"Unf",1,304,"Typical","Typical","Paved",0,85,184,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.628806,42.055227,142000
"27",527404120,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,8400,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","North_Ames","Norm","Norm","OneFam","One_Story","Below_Average","Average",1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Typical","Typical","No","ALQ",1,"Rec",78,0,882,"GasA","Typical","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1970,"Fin",2,525,"Typical","Typical","Paved",240,0,0,0,0,0,"No_Pool","Minimum_Privacy","None",0,4,2010,"WD ","Normal",-93.627112,42.053395,126000
"29",527427230,"One_Story_PUD_1946_and_Newer","Residential_High_Density",26,5858,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","FR2","Gtl","North_Ames","Norm","Norm","TwnhsE","One_Story","Good","Average",1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"BLQ",0,354,1405,"GasA","Excellent","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Good",5,"Typ",1,"Fair","Attchd",1999,"Fin",2,511,"Typical","Typical","Paved",203,68,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.624373,42.055318,184000
"30",527451180,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"Typical","Typical","CBlock","Typical","Typical","No","Rec",6,"Unf",0,327,483,"GasA","Typical","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"Typical",5,"Typ",0,"No_Fireplace","Detchd",1971,"Unf",1,264,"Typical","Typical","Paved",275,0,0,0,0,0,"No_Pool","No_Fence","None",0,2,2010,"COD","Normal",-93.627271,42.051835,96000
"32",527451410,"Two_Story_PUD_1946_and_Newer","Residential_Medium_Density",21,1680,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Briardale","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1971,1971,"Gable","CompShg","HdBoard","ImStucc","BrkFace",381,"Typical","Typical","CBlock","Typical","Typical","No","Unf",7,"Unf",0,525,525,"GasA","Typical","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"Typical",6,"Typ",0,"No_Fireplace","Detchd",1971,"Unf",1,264,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Family",-93.62728,42.051685,88000
"33",527452190,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",53,4043,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","TwnhsE","One_Story","Above_Average","Average",1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,709,1069,"GasA","Typical","Y","SBrkr",1069,0,0,1069,0,0,2,0,2,1,"Typical",4,"Typ",1,"Fair","Attchd",1977,"RFn",2,440,"Typical","Typical","Paved",0,55,0,0,165,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.627232,42.049672,127500
"35",527453150,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","FR2","Gtl","Northpark_Villa","Norm","Norm","Twnhs","One_Story","Good","Above_Average",1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","Unf",7,"Unf",0,836,836,"GasA","Excellent","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"Typical",4,"Typ",0,"No_Fireplace","Attchd",1975,"Unf",1,308,"Typical","Typical","Paved",0,30,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.625966,42.050681,120000
"36",527454200,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",24,2280,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northpark_Villa","Norm","Norm","Twnhs","Two_Story","Above_Average","Average",1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"Typical","Typical","CBlock","Good","Typical","No","ALQ",1,"Unf",0,544,855,"GasA","Fair","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Typical",7,"Typ",1,"Typical","Attchd",1978,"Unf",2,440,"Typical","Typical","Paved",26,0,0,0,0,0,"No_Pool","No_Fence","None",0,7,2010,"WD ","Normal",-93.625848,42.049811,146000
"38",528112020,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",98,11478,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Very_Good","Average",2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,486,1704,"GasA","Excellent","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Good",7,"Typ",1,"Good","Attchd",2008,"RFn",3,772,"Typical","Typical","Paved",0,50,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",-93.654645,42.062109,306000
"39",528120060,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",83,10159,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Excellent","Average",2009,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",450,"Excellent","Typical","PConc","Excellent","Typical","Av","GLQ",3,"Unf",0,284,1930,"GasA","Excellent","Y","SBrkr",1940,0,0,1940,1,0,2,1,3,1,"Excellent",8,"Typ",1,"Good","Attchd",2010,"Fin",3,606,"Typical","Typical","Paved",168,95,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"New","Partial",-93.6537329,42.0611331,395192
"41",528120100,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",95,12182,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Good","Average",2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Good","Typical","PConc","Good","Typical","Mn","BLQ",2,"Unf",0,340,1541,"GasA","Excellent","Y","SBrkr",1541,0,0,1541,0,0,2,0,3,1,"Good",7,"Typ",1,"Good","Attchd",2005,"RFn",2,532,"Typical","Typical","Paved",0,70,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"New","Partial",-93.652713,42.060872,220000
"42",528120120,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",90,11520,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","PosN","Norm","OneFam","One_Story","Excellent","Average",2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Good","Typical","PConc","Excellent","Typical","No","GLQ",3,"Unf",0,1588,1698,"GasA","Excellent","Y","SBrkr",1698,0,0,1698,0,0,2,0,3,1,"Excellent",7,"Typ",1,"Good","Attchd",2005,"Fin",3,730,"Typical","Typical","Paved",192,74,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.65332,42.0608079,275000
"44",528138060,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",70,10171,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Good","Average",2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,1515,1517,"GasA","Excellent","Y","SBrkr",1535,0,0,1535,0,0,2,0,3,1,"Good",7,"Typ",0,"No_Fireplace","Attchd",2004,"RFn",2,532,"Typical","Typical","Paved",0,0,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"WD ","Normal",-93.652307,42.060298,214000
"45",528150070,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",100,12919,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","OneFam","One_Story","Excellent","Average",2009,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",760,"Excellent","Typical","PConc","Excellent","Typical","Gd","GLQ",3,"Unf",0,142,2330,"GasA","Excellent","Y","SBrkr",2364,0,0,2364,1,0,2,1,2,1,"Excellent",11,"Typ",2,"Good","Attchd",2009,"Fin",3,820,"Typical","Typical","Paved",0,67,0,0,0,0,"No_Pool","No_Fence","None",0,3,2010,"New","Partial",-93.655051,42.059617,611657
"47",528176010,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density",110,14300,"Pave","No_Alley_Access","Regular","HLS","AllPub","Inside","Mod","Northridge_Heights","Norm","Norm","OneFam","One_Story","Excellent","Average",2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1095,"Excellent","Typical","PConc","Excellent","Typical","Gd","GLQ",3,"Unf",0,1473,2846,"GasA","Excellent","Y","SBrkr",2696,0,0,2696,1,0,2,1,3,1,"Excellent",10,"Typ",2,"Good","Attchd",2003,"Fin",3,958,"Typical","Typical","Paved",220,150,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.656067,42.058599,500000
"48",528176070,"Two_Story_1946_and_Newer","Residential_Low_Density",105,13650,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Corner","Gtl","Northridge_Heights","Norm","Norm","OneFam","Two_Story","Very_Good","Average",2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,"Good","Typical","PConc","Good","Typical","Gd","GLQ",3,"Unf",0,1093,1671,"GasA","Excellent","Y","SBrkr",1687,563,0,2250,1,0,2,1,3,1,"Good",7,"Typ",1,"Excellent","Attchd",2002,"Fin",3,756,"Typical","Typical","Paved",238,130,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.654853,42.057102,320000
"50",528181050,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",41,7132,"Pave","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Good","Typical","PConc","Good","Typical","Mn","GLQ",3,"Unf",0,1346,1370,"GasA","Excellent","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Good",6,"Typ",1,"Good","Attchd",2006,"RFn",2,484,"Typical","Typical","Paved",120,49,0,0,0,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",-93.649447,42.058252,205000
"51",528188120,"Two_Story_PUD_1946_and_Newer","Residential_Low_Density",36,2628,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Northridge_Heights","Norm","Norm","Twnhs","Two_Story","Good","Average",2003,2003,"Gable","CompShg","VinylSd","Wd Shng","Stone",106,"Good","Typical","PConc","Good","Typical","No","Unf",7,"Unf",0,764,764,"GasA","Excellent","Y","SBrkr",764,862,0,1626,0,0,2,1,2,1,"Good",6,"Typ",0,"No_Fireplace","BuiltIn",2003,"RFn",2,474,"Typical","Typical","Paved",0,27,0,0,0,0,"No_Pool","No_Fence","None",0,6,2010,"WD ","Normal",-93.651013,42.057181,175500
"53",528228285,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,3203,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Bloomington_Heights","Norm","Norm","TwnhsE","One_Story","Good","Average",2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",14,"Good","Typical","PConc","Good","Typical","Av","GLQ",3,"Unf",0,1129,1145,"GasA","Excellent","Y","SBrkr",1145,0,0,1145,0,0,2,0,2,1,"Good",6,"Typ",0,"No_Fireplace","Attchd",2006,"Fin",2,437,"Typical","Typical","Paved",100,116,0,0,0,0,"No_Pool","No_Fence","None",0,1,2010,"WD ","Normal",-93.641635,42.06257,160000
"54",528228440,"One_Story_PUD_1946_and_Newer","Residential_Low_Density",43,3182,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Bloomington_Heights","Norm","Norm","TwnhsE","One_Story","Very_Good","Average",2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,1232,1256,"GasA","Excellent","Y","SBrkr",1269,0,0,1269,0,0,2,0,2,1,"Good",6,"Typ",1,"Typical","Attchd",2004,"Fin",2,430,"Typical","Typical","Paved",146,20,0,0,144,0,"No_Pool","No_Fence","None",0,4,2010,"WD ","Normal",-93.642252,42.062303,192000
"56",528240070,"Two_Story_1946_and_Newer","Residential_Low_Density",0,7851,"Pave","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","OneFam","Two_Story","Above_Average","Average",2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Good","Typical","PConc","Good","Typical","No","GLQ",3,"Unf",0,235,860,"GasA","Excellent","Y","SBrkr",860,1100,0,1960,1,0,2,1,4,1,"Good",8,"Typ",2,"Typical","BuiltIn",2002,"Fin",2,440,"Typical","Typical","Paved",288,48,0,0,0,0,"No_Pool","No_Fence","None",0,5,2010,"WD ","Normal",-93.641487,42.060977,216500
